,name,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
475,Patrik Laine,18.83,171.82,17.56,11.5,317,56,17,27,52,170,54,14,5.88,6.09,5.6,9,10,7,238
476,Michael Carcone,12.31,36.2,4.13,2.64,64,6,2,8,9,31,12,6,1.03,1.41,1.68,1,2,1,49
477,Nathan Walker,11.54,39.83,4.61,2.91,64,12,2,8,6,32,18,5,1.29,2.07,1.25,5,2,1,55
478,Hudson Fasching,9.88,7.42,0.7,0.51,17,0,0,2,0,6,5,0,0.18,0.52,0.0,0,0,0,11
479,Kale Clague,16.74,21.66,1.24,1.38,56,10,4,6,35,27,3,1,0.73,0.27,0.25,2,0,0,31
480,Sean Durzi,19.59,102.26,5.89,7.3,247,27,12,26,53,133,14,3,3.32,1.62,0.95,2,0,1,150
481,Justin Holl,20.21,62.68,3.46,3.83,128,23,3,18,56,82,4,4,1.79,0.59,1.08,2,1,0,90
482,Kyle Connor,21.78,291.02,35.14,20.49,499,93,17,66,47,254,109,32,9.25,12.39,13.5,10,19,18,395
483,Adam Larsson,22.28,119.18,4.5,6.64,260,25,9,23,35,165,9,0,3.42,1.08,0.0,4,4,0,174
484,Philipp Kurashev,12.85,75.85,7.36,5.42,142,21,4,24,11,74,26,5,2.53,3.29,1.53,3,3,0,105
485,Martin Necas,16.19,163.28,14.1,10.03,295,40,7,38,75,176,38,12,5.28,4.31,4.51,6,6,2,226
486,Charlie Coyle,17.41,136.89,18.73,9.95,214,44,18,39,42,122,38,25,3.79,4.87,10.07,7,1,8,185
487,Jason Dickinson,13.04,69.03,7.33,4.63,125,11,3,20,9,69,25,4,2.34,3.06,1.93,3,0,2,98
488,Dmitry Kulikov,18.2,77.57,5.01,5.07,168,24,5,16,31,98,9,5,2.46,1.05,1.5,1,3,3,112
489,Adrian Kempe,18.58,246.03,30.25,17.15,443,54,23,34,43,205,91,35,6.48,10.91,12.85,7,8,20,331
490,Brad Hunt,15.25,61.25,2.03,3.51,127,17,6,11,19,89,1,0,1.84,0.19,0.0,3,0,0,90
491,Tom Wilson,18.58,161.2,19.41,12.28,279,52,13,36,44,129,80,17,3.99,9.84,5.58,3,16,5,226
